ant;x;y
M01;1;66
M02;-38;15
M03;-70;35
M04;-122;-26
M05;-100;-43
M06;-15;-64
M07;-87;-174
M08;-91;-309
M09;33;-141
M10;90;-280
M11;84;-123
M12;141;-138
M13;236;-164
M14;281;-57
M15;211;9
M16;287;44
M17;199;120
M18;104;-9
M19;169;-48
M20;97;-60
M21;-295;-92
M22;-374;233
M23;-324;96
M24;-352;392
M25;-183;466
M26;-100;252
M27;38;213
M28;-50;151
M29;-89;114
M30;169;353
M31;245;331
M32;459;415
M33;578;1108
M34;355;206
M35;385;56
M36;385;-53
M37;379;-222
M38;211;-331
M39;250;-356
M40;-28;-474
M41;-288;-426
M42;-362;-227
M43;-629;107
M44;-882;805
M45;-1809;480
M47;-584;-290
M48;-2772;2912
M49;-3576;651
M50;-2035;-636
M51;-848;-534
M52;-585;-929
M54;890;-294
M55;1218;309
M56;1607;668
M57;316;3497
M58;2805;2912
M59;3675;994
M60;3400;-1615
M61;-1;-2123
M62;-1430;-2295
M63;-3402;-1631